23 825 127 538 29 91 92 93 730 361 213 945 818 19 420 538 32 935 834 35 361 637 
Total number of elements found in file: 22

inserting:  23	|  23 
inserting: 825	|  23 825 
inserting: 127	|  23 825 127 
inserting: 538	|  23 538 127 825 
inserting:  29	|  23  29 127 825 538 
inserting:  91	|  23  29  91 825 538 127 
inserting:  92	|  23  29  91 825 538 127  92 
inserting:  93	|  23  29  91  93 538 127  92 825 
inserting: 730	|  23  29  91  93 538 127  92 825 730 
inserting: 361	|  23  29  91  93 361 127  92 825 730 538 
inserting: 213	|  23  29  91  93 213 127  92 825 730 538 
inserting: 945	|  23  29  91  93 213 127  92 825 730 538 
inserting: 818	|  23  29  91  93 213 127  92 825 730 538 
inserting:  19	|  19  29  23  93 213 127  91 825 730 538 
inserting: 420	|  19  29  23  93 213 127  91 825 730 538 
inserting: 538	|  19  29  23  93 213 127  91 538 730 538 
inserting:  32	|  19  29  23  32 213 127  91  93 730 538 
inserting: 935	|  19  29  23  32 213 127  91  93 730 538 
inserting: 834	|  19  29  23  32 213 127  91  93 730 538 
inserting:  35	|  19  29  23  32  35 127  91  93 730 213 
inserting: 361	|  19  29  23  32  35 127  91  93 730 213 
inserting: 637	|  19  29  23  32  35 127  91  93 730 213 
